variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
Nb,Niobium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nb,Niobium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd,Neodymium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nd,Neodymium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nd,Neodymium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd,Neodymium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd145,Neodymium-145,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Nd145,Neodymium-145,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Nd145,Neodymium-145,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Nd145,Neodymium-145,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
NH3_N,Ammonia-N,precip_conc,mg/L,194006,14,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
NH3_N,Ammonia-N,precip_flux,kg/ha/d,176990,10,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
NH3_N,Ammonia-N,stream_conc,mg/L,157891,22,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
NH3_N,Ammonia-N,stream_flux,kg/ha/d,144318,13,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
NH4,Ammonium,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
NH4,Ammonium,precip_flux,kg/ha/d,14657,10,1998-08-05T00:00:00Z,2021-04-08T00:00:00Z
NH4_N,Ammonium-N,precip_conc,mg/L,327229,50,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
NH4_N,Ammonium-N,precip_flux,kg/ha/d,327229,50,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
NH4_N,Ammonium-N,stream_conc,mg/L,1169442,220,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
NH4_N,Ammonium-N,stream_flux,kg/ha/d,674221,112,1964-03-17T00:00:00Z,2020-11-03T00:00:00Z
Ni,Nickel,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ni,Nickel,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ni,Nickel,stream_conc,mg/L,112826,38,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ni,Nickel,stream_flux,kg/ha/d,52194,21,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ni60,Nickel-60,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ni60,Nickel-60,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ni60,Nickel-60,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Ni60,Nickel-60,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
NO2,Nitrite,precip_conc,mg/L,40287,13,2011-03-29T00:00:00Z,2019-09-21T00:00:00Z
NO2,Nitrite,precip_flux,kg/ha/d,40287,13,2011-03-29T00:00:00Z,2019-09-21T00:00:00Z
NO2,Nitrite,stream_conc,mg/L,45513,26,2005-09-27T00:00:00Z,2020-01-28T00:00:00Z
NO2,Nitrite,stream_flux,kg/ha/d,17081,10,2010-07-02T00:00:00Z,2019-09-16T00:00:00Z
NO2_N,Nitrite-N,stream_conc,mg/L,213506,42,1993-12-01T00:00:00Z,2014-01-30T00:00:00Z
NO2_N,Nitrite-N,stream_flux,kg/ha/d,2585,4,1998-06-01T00:00:00Z,2003-05-19T00:00:00Z
NO3,Nitrate,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
NO3,Nitrate,precip_flux,kg/ha/d,14657,10,1998-08-05T00:00:00Z,2021-04-08T00:00:00Z
NO3_N,Nitrate-N,precip_conc,mg/L,555789,68,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
NO3_N,Nitrate-N,precip_flux,kg/ha/d,538773,64,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
NO3_N,Nitrate-N,stream_conc,mg/L,1282770,219,1964-03-17T00:00:00Z,2020-10-09T00:00:00Z
NO3_N,Nitrate-N,stream_flux,kg/ha/d,703469,101,1964-03-17T00:00:00Z,2020-09-09T00:00:00Z
NO3_NO2_N,Nitrate-N and nitrite-N,stream_conc,mg/L,513462,92,1976-11-04T00:00:00Z,2020-11-03T00:00:00Z
NO3_NO2_N,Nitrate-N and nitrite-N,stream_flux,kg/ha/d,391389,65,1976-11-04T00:00:00Z,2020-11-03T00:00:00Z
OMAl,Aluminum OM,precip_conc,mg/L,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
OMAl,Aluminum OM,precip_flux,kg/ha/d,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
OMAl,Aluminum OM,stream_conc,mg/L,25513,10,2013-05-21T00:00:00Z,2020-05-27T00:00:00Z
OMAl,Aluminum OM,stream_flux,kg/ha/d,22949,9,2013-06-02T00:00:00Z,2020-05-27T00:00:00Z
P,Phosphorus,precip_conc,mg/L,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
P,Phosphorus,precip_flux,kg/ha/d,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
P,Phosphorus,stream_conc,mg/L,114607,33,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
P,Phosphorus,stream_flux,kg/ha/d,57435,26,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Pb,Lead,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pb,Lead,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pb,Lead,stream_conc,mg/L,98615,43,1990-12-03T00:00:00Z,2019-11-21T00:00:00Z
Pb,Lead,stream_flux,kg/ha/d,46191,28,1990-12-03T00:00:00Z,2019-08-13T00:00:00Z
Pd,Palladium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Pd,Palladium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Pd,Palladium,stream_conc,mg/L,69678,13,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Pd,Palladium,stream_flux,kg/ha/d,28203,9,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
pH,pH,NA,unitless,2381877,237,1963-06-02T00:00:00Z,2020-12-31T00:00:00Z
phaeopig,Phaeopigment,NA,mg/L,5711,6,2008-06-19T00:00:00Z,2012-07-30T00:00:00Z
pheophy,Sestonic Phaeophytin,NA,mg/L,94135,46,2004-06-21T00:00:00Z,2017-08-26T00:00:00Z
pHmetrohm,pH Metrohm,NA,unitless,31197,11,2017-06-12T00:00:00Z,2020-05-27T00:00:00Z
PO4,Phosphate,precip_flux,kg/ha/d,3524,7,2019-04-09T00:00:00Z,2021-04-08T00:00:00Z
PO4_P,Phosphate-P,precip_conc,mg/L,469093,64,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
PO4_P,Phosphate-P,precip_flux,kg/ha/d,452077,60,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
PO4_P,Phosphate-P,stream_conc,mg/L,863965,169,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
PO4_P,Phosphate-P,stream_flux,kg/ha/d,630842,105,1968-10-09T00:00:00Z,2020-11-03T00:00:00Z
POC,Particulate Organic Carbon,stream_conc,mg/L,42618,18,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
POC,Particulate Organic Carbon,stream_flux,kg/ha/d,10094,7,2002-05-07T00:00:00Z,2015-11-23T00:00:00Z
PON,Particulate Organic Nitrogen,stream_conc,mg/L,36653,8,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
PON,Particulate Organic Nitrogen,stream_flux,kg/ha/d,7442,3,2006-12-22T00:00:00Z,2015-11-23T00:00:00Z
Pr,Praseodymium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pr,Praseodymium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pr,Praseodymium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Pr,Praseodymium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
precipitation,Precipitation at gauge,NA,mm,1982679,188,1951-05-10T00:00:00Z,2021-07-01T00:00:00Z
Pt,Platinum,stream_conc,mg/L,6103,9,2010-02-10T00:00:00Z,2020-12-02T00:00:00Z
Pt,Platinum,stream_flux,kg/ha/d,4894,3,2010-02-10T00:00:00Z,2020-12-02T00:00:00Z
Rb,Rubidium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rb,Rubidium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rb,Rubidium,stream_conc,mg/L,79462,28,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
Rb,Rubidium,stream_flux,kg/ha/d,30091,18,2006-02-14T00:00:00Z,2020-12-02T00:00:00Z
Re,Rhenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Re,Rhenium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Re,Rhenium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Re,Rhenium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Rh,Rhodium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rh,Rhodium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rh,Rhodium,stream_conc,mg/L,8193,9,2016-12-06T00:00:00Z,2019-12-09T00:00:00Z
Rh,Rhodium,stream_flux,kg/ha/d,6840,9,2016-12-06T00:00:00Z,2019-12-09T00:00:00Z
Ru,Ruthenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ru,Ruthenium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
S,Sulfer,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
S,Sulfer,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
S,Sulfer,stream_conc,mg/L,110275,22,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
S,Sulfer,stream_flux,kg/ha/d,54173,13,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Sb,Antimony,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sb,Antimony,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sb,Antimony,stream_conc,mg/L,81958,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Sb,Antimony,stream_flux,kg/ha/d,42206,27,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sc,Scandium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sc,Scandium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sc,Scandium,stream_conc,mg/L,46312,11,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Sc,Scandium,stream_flux,kg/ha/d,21553,9,2003-03-22T00:00:00Z,2020-12-02T00:00:00Z
Se,Selenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Se,Selenium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Se,Selenium,stream_conc,mg/L,53532,25,1997-03-24T00:00:00Z,2020-12-02T00:00:00Z
Se,Selenium,stream_flux,kg/ha/d,28349,18,1998-03-02T00:00:00Z,2020-12-02T00:00:00Z
Se78,Selenium-78,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Se78,Selenium-78,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Se78,Selenium-78,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Se78,Selenium-78,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
Si,Silicon,precip_conc,mg/L,240231,44,1969-10-07T00:00:00Z,2019-07-30T00:00:00Z
Si,Silicon,precip_flux,kg/ha/d,223215,40,1969-10-07T00:00:00Z,2019-07-30T00:00:00Z
Si,Silicon,stream_conc,mg/L,741756,161,1969-10-07T00:00:00Z,2020-12-02T00:00:00Z
Si,Silicon,stream_flux,kg/ha/d,329375,87,1969-10-07T00:00:00Z,2020-12-02T00:00:00Z
SiO2_Si,Silica-Si,precip_conc,mg/L,221545,16,1971-06-29T00:00:00Z,2020-05-19T00:00:00Z
SiO2_Si,Silica-Si,precip_flux,kg/ha/d,221545,16,1971-06-29T00:00:00Z,2020-05-19T00:00:00Z
SiO2_Si,Silica-Si,stream_conc,mg/L,267586,34,1963-06-02T00:00:00Z,2020-05-27T00:00:00Z
SiO2_Si,Silica-Si,stream_flux,kg/ha/d,213816,23,1963-06-02T00:00:00Z,2020-05-27T00:00:00Z
SiO3_Si,Silicate-Si,stream_conc,mg/L,690,3,1989-10-13T00:00:00Z,1990-05-30T00:00:00Z
SiO3_Si,Silicate-Si,stream_flux,kg/ha/d,381,3,1990-01-24T00:00:00Z,1990-05-30T00:00:00Z
Sm,Samarium,precip_conc,mg/L,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
Sm,Samarium,precip_flux,kg/ha/d,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
Sm,Samarium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sm,Samarium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sm147,Samarium-147,precip_conc,mg/L,38285,13,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sm147,Samarium-147,precip_flux,kg/ha/d,38285,13,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sm147,Samarium-147,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Sm147,Samarium-147,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
Sn,Tin,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sn,Tin,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sn,Tin,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sn,Tin,stream_flux,kg/ha/d,25792,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sn118,Tin-118,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sn118,Tin-118,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sn118,Tin-118,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Sn118,Tin-118,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
SO4,Sulfate,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
SO4,Sulfate,precip_flux,kg/ha/d,14657,10,1998-08-05T00:00:00Z,2021-04-08T00:00:00Z
SO4,Sulfate,stream_conc,mg/L,38321,27,2012-02-01T00:00:00Z,2020-03-20T00:00:00Z
SO4,Sulfate,stream_flux,kg/ha/d,20127,25,2016-10-05T00:00:00Z,2020-03-20T00:00:00Z
SO4_S,Sulfate-S,precip_conc,mg/L,489356,51,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
SO4_S,Sulfate-S,precip_flux,kg/ha/d,476160,47,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
SO4_S,Sulfate-S,stream_conc,mg/L,1303394,233,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
SO4_S,Sulfate-S,stream_flux,kg/ha/d,754516,111,1964-03-17T00:00:00Z,2020-09-30T00:00:00Z
spCond,Specific Conductivity,NA,uS/cm,2178959,269,1965-06-22T00:00:00Z,2020-12-31T00:00:00Z
Sr,Strontium,precip_conc,mg/L,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sr,Strontium,precip_flux,kg/ha/d,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sr,Strontium,stream_conc,mg/L,146776,52,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Sr,Strontium,stream_flux,kg/ha/d,67583,33,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
SRP,Soluble Reactive Phosphorus,precip_conc,mg/L,48932,4,1986-05-30T00:00:00Z,2019-11-25T00:00:00Z
SRP,Soluble Reactive Phosphorus,precip_flux,kg/ha/d,48932,4,1986-05-30T00:00:00Z,2019-11-25T00:00:00Z
SRP,Soluble Reactive Phosphorus,stream_conc,mg/L,623977,104,1983-07-09T00:00:00Z,2019-10-01T00:00:00Z
SRP,Soluble Reactive Phosphorus,stream_flux,kg/ha/d,297311,38,1983-07-13T00:00:00Z,2019-09-13T00:00:00Z
suspSed,Suspended Sediment,precip_conc,mg/L,193516,14,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z
suspSed,Suspended Sediment,precip_flux,kg/ha/d,176500,10,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z
suspSed,Suspended Sediment,stream_conc,mg/L,157680,16,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
suspSed,Suspended Sediment,stream_flux,kg/ha/d,144381,13,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
T_ECHL,Epilithic Total Chlorophyll,NA,mg/cm2,200443,32,1983-07-22T00:00:00Z,2015-08-12T00:00:00Z
Ta,Tantalum,stream_conc,mg/L,2,2,2007-07-02T00:00:00Z,2014-06-24T00:00:00Z
Ta,Tantalum,stream_flux,kg/ha/d,2,2,2007-07-02T00:00:00Z,2014-06-24T00:00:00Z
Tb,Terbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tb,Terbium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tb,Terbium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Tb,Terbium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
TC,Total Carbon,stream_conc,mg/L,20286,17,2014-07-18T00:00:00Z,2018-12-12T00:00:00Z
TC,Total Carbon,stream_flux,kg/ha/d,1041,1,2014-11-18T00:00:00Z,2017-09-23T00:00:00Z
TCHL,Sestonic Total Chlorophyll,NA,mg/L,223753,47,1983-07-22T00:00:00Z,2015-08-08T00:00:00Z
TDN,Total Dissolved Nitrogen,precip_conc,mg/L,269661,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
TDN,Total Dissolved Nitrogen,precip_flux,kg/ha/d,269661,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
TDN,Total Dissolved Nitrogen,stream_conc,mg/L,725374,157,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
TDN,Total Dissolved Nitrogen,stream_flux,kg/ha/d,490154,98,1968-10-09T00:00:00Z,2020-09-30T00:00:00Z
TDP,Total Dissolved Phosphorus,precip_conc,mg/L,235408,25,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
TDP,Total Dissolved Phosphorus,precip_flux,kg/ha/d,218392,21,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
TDP,Total Dissolved Phosphorus,stream_conc,mg/L,600950,146,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
TDP,Total Dissolved Phosphorus,stream_flux,kg/ha/d,418909,96,1968-10-09T00:00:00Z,2020-09-30T00:00:00Z
TDS,Total Dissolved Solids,NA,mg/L,39724,32,2012-02-01T00:00:00Z,2020-03-20T00:00:00Z
Te,Tellurium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Te,Tellurium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Te,Tellurium,stream_conc,mg/L,1,1,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z
Te,Tellurium,stream_flux,kg/ha/d,1,1,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z
temp,Water Temperature,NA,degrees C,980340,181,1963-06-26T00:00:00Z,2020-12-31T00:00:00Z
Th,Thorium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Th,Thorium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Th,Thorium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Th,Thorium,stream_flux,kg/ha/d,25792,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ti,Titanium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ti,Titanium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ti,Titanium,stream_conc,mg/L,90687,28,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ti,Titanium,stream_flux,kg/ha/d,35211,19,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ti49,Titanium-49,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ti49,Titanium-49,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ti49,Titanium-49,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Ti49,Titanium-49,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
TIC,Total Inorganic Carbon,precip_conc,mg/L,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TIC,Total Inorganic Carbon,precip_flux,kg/ha/d,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TIC,Total Inorganic Carbon,stream_conc,mg/L,43515,12,2005-09-27T00:00:00Z,2020-01-28T00:00:00Z
TIC,Total Inorganic Carbon,stream_flux,kg/ha/d,22762,12,2009-02-10T00:00:00Z,2019-09-16T00:00:00Z
TIN,Total Inorganic Nitrogen,stream_conc,mg/L,105539,25,1994-01-12T00:00:00Z,2020-11-06T00:00:00Z
TIN,Total Inorganic Nitrogen,stream_flux,kg/ha/d,50912,9,1994-01-12T00:00:00Z,2020-09-30T00:00:00Z
TIP,Total Inorganic Phosphorus,precip_conc,mg/L,160,4,2011-06-21T00:00:00Z,2011-07-30T00:00:00Z
TIP,Total Inorganic Phosphorus,precip_flux,kg/ha/d,160,4,2011-06-21T00:00:00Z,2011-07-30T00:00:00Z
TIP,Total Inorganic Phosphorus,stream_conc,mg/L,85019,25,1997-05-30T00:00:00Z,2020-11-06T00:00:00Z
TIP,Total Inorganic Phosphorus,stream_flux,kg/ha/d,43457,9,1997-05-30T00:00:00Z,2020-09-30T00:00:00Z
TKN,Total Kjeldahl Nitrogen,precip_conc,mg/L,150526,14,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,precip_flux,kg/ha/d,133510,10,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,stream_conc,mg/L,125706,18,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,stream_flux,kg/ha/d,110692,15,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
Tl,Thallium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tl,Thallium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tl,Thallium,stream_conc,mg/L,55445,19,2006-03-14T00:00:00Z,2020-12-02T00:00:00Z
Tl,Thallium,stream_flux,kg/ha/d,28418,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Tm,Thulium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tm,Thulium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tm,Thulium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Tm,Thulium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
TMAl,Aluminum TM,precip_conc,mg/L,40644,9,2008-01-08T00:00:00Z,2020-05-19T00:00:00Z
TMAl,Aluminum TM,precip_flux,kg/ha/d,40644,9,2008-01-08T00:00:00Z,2020-05-19T00:00:00Z
TMAl,Aluminum TM,stream_conc,mg/L,26262,10,2011-05-03T00:00:00Z,2020-05-27T00:00:00Z
TMAl,Aluminum TM,stream_flux,kg/ha/d,22949,9,2013-06-02T00:00:00Z,2020-05-27T00:00:00Z
TN,Total Nitrogen,precip_conc,mg/L,41054,26,1998-04-26T00:00:00Z,2019-09-21T00:00:00Z
TN,Total Nitrogen,precip_flux,kg/ha/d,41054,26,1998-04-26T00:00:00Z,2019-09-21T00:00:00Z
TN,Total Nitrogen,stream_conc,mg/L,337821,92,1985-03-13T00:00:00Z,2021-04-22T00:00:00Z
TN,Total Nitrogen,stream_flux,kg/ha/d,188171,49,1985-07-09T00:00:00Z,2021-01-11T00:00:00Z
TOC,Total Organic Carbon,precip_conc,mg/L,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TOC,Total Organic Carbon,precip_flux,kg/ha/d,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TOC,Total Organic Carbon,stream_conc,mg/L,175651,67,1985-07-11T00:00:00Z,2020-10-29T00:00:00Z
TOC,Total Organic Carbon,stream_flux,kg/ha/d,82784,55,1985-07-11T00:00:00Z,2020-10-01T00:00:00Z
TP,Total Phosphorus,precip_conc,mg/L,14228,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,precip_flux,kg/ha/d,14228,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,stream_conc,mg/L,275822,81,1989-09-06T00:00:00Z,2020-03-20T00:00:00Z
TP,Total Phosphorus,stream_flux,kg/ha/d,155177,51,1989-09-06T00:00:00Z,2020-03-20T00:00:00Z
TPC,Total Particulate Carbon,NA,mg/L,140147,74,1994-06-24T00:00:00Z,2019-12-20T00:00:00Z
TPN,Total Particulate Nitrogen,NA,mg/L,571394,76,1978-06-16T00:00:00Z,2019-05-22T00:00:00Z
TPP,Total Particulate Phosphorus,NA,mg/L,834459,93,1974-10-01T00:00:00Z,2019-12-30T00:00:00Z
